id,channel,category,title,content,view_cnt,like_cnt,comment_cnt,created_at,own_company
1,mam2bebe,의류,"노스페이스키즈 스쿨데이 3pcs 세트! 70,430원","아이 등원시키는데 왤케 춥나요;
지난주까지만해도 반팔에 얇은자켓 입혀서 보냈는데 이젠 안되겠어요
또 이렇게 갑자기 온 추위에 게으른 엄마는 급하게 준비합니다ㅠㅠ

일찍 주문하니까 오늘 보내주면 좋겠는 맘ㅎㅎ
세트는 바지가 항상 커서 4살 100했어요",7751,96,20,2025-10-14 8:32:00,0
2,mam2bebe,의류,"네파 키즈 크로싱 패딩 자켓 30,800원 무배","네파 키즈 패딩 3만원  초반이네요~
주말에 10도이하라고  많이 쌀쌀해진다고 해서 미리 사두려구용ㅎㅎ​
득템 하세요~~",6732,82,7,2025-10-14 13:02:00,0
3,mam2bebe,뷰티,나이아신아미드 세럼 80ml 8190원,"쓰다가 날아가서 의욕 상실.. 
피부과 의사 스레드보고 써봤는데 진짜 지우개 수준 미백효과예요. 후기 찾아보세요 진짜 대박템..

저는 기미에 효과 많이 보고있어요
가격보고 놀라서 올려요. 

두개사면 
2만이상 5천 쿠폰 적용해서 한병 8190원꼴

고함량이라 민감하신분들은 비추",6383,223,66,2025-10-14 14:31:00,0
4,mam2bebe,의류,"나이키 코르테즈 44,430원 무배","250까지 있어서 여자사이즈는 요 키즈모델로 사면 싸요
데일리로 잘 신을듯해여 ㅎㅎ",9385,203,22,2025-10-14 14:49:00,0
5,mam2bebe,의류,"내셔널지오그래픽키즈 구스 다운점퍼 118,285원 무배","지난번에 올라와서 못샀는데 놓친 분들 이번에 겟하세용,,❤️

컬러 총 4개 사이즈는 넉넉하게 나온편이니 참고하세요~
아이들 한겨울 야외활동 할 때 좋아요.

15% 쿠폰이랑 현대카드 7% 청구 할인넣으면 저가격 나와요.
내일 오전 8:59까지만 할인하네요.",7359,114,28,2025-10-14 15:52:00,0
6,mam2bebe,의류,"에블린 파자마 상하의세트 8,550원 외 브라팬티 초핫딜","다 엄청저렴해요 ㅋㅋㅋ만원 넘는게 없어여!
사이즈맞으면 얼른 고고하세여!!!",12000,144,36,2025-10-14 16:43:00,0
7,mam2bebe,의류,"티파니 블랙 샤이닝 오리털 패딩 138,810원 무배(가격내림)","작년에 백화점가서 정가주고 사준패딩이에요ㅠ
이거 진짜 가벼워요 (구스보다 더~) 
약간 몽클느낌에 말랑콩떡한 느낌요ㅎㅎ
살짝 박시해서 안에 두꺼운옷 입어도 여유있고요",12000,165,81,2025-10-14 22:04:00,0
8,mam2bebe,의류,"블루독베이비 경량패딩 30,760원","경량패딩 색깔 이쁜디 3만원밖에 안하네여!
얼마전에 하나 샀는데 또 샀어요 ㅋㅋㅋ
온쇼페 지나면 가격 올라갈거같네욤 ㅎ",7856,79,61,2025-10-15 0:32:00,0
9,mam2bebe,의류,"스파오 공용 아틀란타 배색 풀오버 후드 맨투맨(그레이)9,480원","색상은 멜란지그레이,
M 사이즈 제외하고 할인해요.
부드럽다는 평이고 공용이라 넉넉.",7238,15,23,2025-10-15 6:26:00,0
10,mam2bebe,잡화,무인양품 스니커즈 5900원 핫딜 (2개 구매시 무배),"와 핫딜 발견요 맘님들!
5900원에 두켤레 구매하니까 무료배송으로 결제되네요? (저는 두켤레 무배로 결제완!)
상세페이지에는 3만원 이상 무배인데 잘못설정된건지.. 일단 빠르게 공유해요~^^",6804,93,63,2025-10-15 13:14:00,0
